T:1.1.5.;T:1.2.9.;T:1.2.10.;VPL:1.2.11.;VPL:1.2.12.;VPL:1.2.13.;T:1.3.11.;T:1.3.12.;VPL:1.3.13.;VPL:1.3.14.;VPL:1.3.15.;VPL:1.3.16.;T:1.4.11.;T:1.4.12.;VPL:1.4.13.;VPL:1.4.14.;VPL:1.4.15.;sumball;label
0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.38;0.0;0.0;0.0;0.0;9.0;0
2.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.48;3.65;3.0;5.0;5.0;5.0;2.5;5.0;5.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;36.65;0
2.38;3.5;5.0;3.0;5.0;5.0;4.0;5.0;5.0;2.0;3.0;3.0;3.88;3.38;3.0;2.0;3.0;70.26;1
2.8;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;4.88;3.08;0.0;0.0;0.0;49.96;0
2.39;3.5;5.0;5.0;4.0;4.0;4.5;4.0;5.0;2.0;3.0;3.0;3.0;2.17;3.0;2.0;3.0;78.33;1
2.45;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.0;3.0;3.0;3.0;92.0;1
2.3;4.5;4.5;5.0;5.0;5.0;4.0;4.5;5.0;2.0;3.0;3.0;1.63;0.0;3.0;0.0;0.0;48.5;0
2.93;5.0;5.0;5.0;4.0;5.0;4.5;4.5;5.0;2.0;0.0;0.0;0.5;3.5;0.0;0.0;0.0;43.5;0
3.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;5.0;0.0;3.0;3.0;4.0;3.33;3.0;3.0;3.0;91.28;1
2.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3.0;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;5.0;3.25;3.0;3.0;3.0;76.75;1
0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.63;1.17;0.0;0.0;0.0;0.0;0
2.8;5.0;5.0;5.0;5.0;5.0;5.0;4.5;5.0;1.0;3.0;3.0;4.0;2.96;3.0;3.0;3.0;67.5;1
5.0;5.0;5.0;5.0;5.0;2.0;3.88;3.5;3.0;3.0;3.0;3.0;5.0;5.0;3.0;3.0;0.0;87.47999999999999;1
2.13;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;0.0;0.0;3.5;3.33;0.0;0.0;0.0;48.83;0
2.83;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;4.38;2.67;3.0;3.0;3.0;71.38;1
5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0
2.83;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;0.0;0.0;4.5;3.17;0.0;0.0;0.0;47.67;0
1.98;2.5;5.0;5.0;4.0;3.0;4.5;5.0;5.0;0.0;0.0;0.0;3.25;2.67;0.0;0.0;0.0;34.75;0
1.91;4.5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;3.0;3.3;3.0;3.0;3.0;85.88;1
1.98;3.5;5.0;5.0;2.0;5.0;0.0;0.0;5.0;2.0;0.0;0.0;2.63;1.5;0.0;0.0;0.0;25.5;0
1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.55;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;3.0;2.58;2.25;3.0;3.0;0.0;54.0;1
2.05;3.5;5.0;5.0;3.0;3.0;5.0;5.0;5.0;0.0;0.0;0.0;2.75;1.83;0.0;0.0;0.0;38.1;0
2.5;5.0;4.0;5.0;5.0;5.0;4.0;4.5;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0
0.96;1.83;2.0;5.0;5.0;5.0;4.5;4.5;5.0;2.0;0.0;0.0;3.13;2.58;3.0;3.0;0.0;40.13;0
2.5;4.83;5.0;5.0;5.0;5.0;4.5;5.0;5.0;2.0;0.0;0.0;4.5;3.0;3.0;3.0;0.0;54.83;1
3.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;2.25;1.0;0.0;0.0;0.0;48.0;0
2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2.54;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.5;3.0;5.0;1.93;3.0;0.0;0.0;55.5;1
1.1;0.0;0.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0
1.9;3.0;5.0;5.0;4.0;3.0;3.0;5.0;5.0;0.0;0.0;0.0;3.0;3.17;0.0;0.0;0.0;39.17;0
1.46;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0
2.35;4.5;5.0;5.0;3.0;3.0;4.0;5.0;0.0;0.0;0.0;0.0;3.25;2.08;0.0;0.0;0.0;37.85;0
2.85;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;3.0;0.0;4.75;3.5;0.0;0.0;0.0;53.25;1
